Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
PluginName,プラグイン名,統合 MIDI読み込み,MIDI Import/Edit,MIDI Import/Edit,MIDI Import/Edit,MIDI Import/Edit,MIDI Import/Edit,MIDI Import/Edit,
PluginWriterName,書き出しプラグイン名,MIDI ファイル出力,MIDI Export,MIDI Export,MIDI Export,MIDI Export,MIDI Export,MIDI Export,
PluginToolName,ツールプラグイン名,MIDI エディター,MIDI Editor,MIDI Editor,MIDI Editor,MIDI Editor,MIDI Editor,MIDI Editor
NoteVoicePluginName,NoteVoiceプラグイン名,ノート記法音声合成,Note Notation Synthesis,音符记谱法合成,音符記譜法合成,음표 표기법 합성,Síntesis de Notación de Notas,تركيب تدوين الملاحظات,
NoteVoiceSettingsName,NoteVoice設定名,ノート記法音声合成 設定,Note Notation Synthesis Settings,音符记谱法合成设置,音符記譜法合成設定,음표 표기법 합성 설정,Configuración de Síntesis de Notación de Notas,إعدادات تركيب تدوين الملاحظات,
NoteVoiceSpeakerEngineName,NoteVoiceスピーカーエンジン名,ノート記法シンセサイザー,Note Notation Synthesizer,音符记谱法合成器,音符記譜法合成器,음표 표기법 신디사이저,Sintetizador de Notación de Notas,مركب تدوين الملاحظات,
KanjiToYomiNotSupported,漢字読み変換非対応エラー,漢字読み変換はサポートされていません。,Kanji to Yomi conversion is not supported.,不支持汉字到读音转换。,不支援漢字到讀音轉換。,한자 읽기 변환은 지원되지 않습니다.,La conversión de Kanji a Yomi no es compatible.,تحويل كانجي إلى يومي غير مدعوم.,
DefaultSynthModelName,デフォルトSynthモデル名,DefaultSynth,DefaultSynth,DefaultSynth,DefaultSynth,DefaultSynth,DefaultSynth,DefaultSynth,
DefaultSoundFontModelName,デフォルトSoundFontモデル名,DefaultSoundFont,DefaultSoundFont,DefaultSoundFont,DefaultSoundFont,DefaultSoundFont,DefaultSoundFont,DefaultSoundFont,
CreateNewModelWindowTitle,新規モデル作成ウィンドウタイトル,新規モデル作成,Create New Model,创建新模型,建立新模型,새 모델 만들기,Crear Nuevo Modelo,إنشاء نموذج جديد,
